id,lat,lon
956475122,59.7424847,30.3452567
956475123,59.7338575,30.3397123
956475129,59.7304565,30.3292927
956475131,59.7396308,30.3147305
956475132,59.7285508,30.3478134
956475136,59.7389396,30.3184259
956475142,59.7302286,30.3499869
956475144,59.7414784,30.3124645
956475146,59.7397105,30.3451059
956475149,59.7369591,30.317106
956475156,59.7342862,30.3385301
956475157,59.7319041,30.3354134
956475159,59.7410319,30.3138728
956475161,59.7360296,30.3218233
956475163,59.7388106,30.3147733
956475164,59.73627,30.333912
956475166,59.7374948,30.3422468
956475168,59.7378945,30.3542857
956475171,59.726878,30.3308219
956475172,59.7375122,30.3163395
956475177,59.7405934,30.3162048
956475180,59.7405279,30.3102359
956475186,59.7362834,30.3418387
956475187,59.7337919,30.3340646
956475188,59.7374116,30.3240495
956475189,59.736631,30.3347297
956475193,59.7405086,30.3131994
956475203,59.7298177,30.3429657
956475209,59.7282839,30.333392
956475217,59.7368314,30.3512956
956475218,59.7309014,30.3273847
956475223,59.742856,30.3411979
956475224,59.7295519,30.3304275
956475239,59.7400926,30.31583
956475251,59.7403316,30.3194392
956475252,59.7229614,30.3431018
956475254,59.7417897,30.3089599
956475262,59.7373829,30.3527949
956475263,59.7401384,30.3150835
956475264,59.7423171,30.3151084
956475265,59.7405608,30.3444378
956475268,59.7374618,30.3169638
956475269,59.7301931,30.3427057
956475271,59.7390675,30.3374692
956475279,59.7370745,30.3449382
956475280,59.7287881,30.3310244
956475281,59.7419385,30.3161451
956475282,59.7389142,30.3201871
956475283,59.7427433,30.3466991
956475292,59.7391931,30.3161307
956475294,59.7354754,30.3362498
956475297,59.7378049,30.3345918
956475298,59.7375826,30.3535459
956475300,59.7374753,30.3357859
956475324,59.7473767,30.3415636
956475325,59.7347596,30.3380022
956475332,59.7386575,30.323681
956475334,59.7411064,30.3153639
956475336,59.7417361,30.3486402
956475337,59.7378448,30.3552543
956475338,59.7277413,30.343372
956475339,59.7311595,30.3308127
956475340,59.7332055,30.3205457
956475345,59.7410974,30.3305918
956475350,59.7344442,30.3320027
956475354,59.7249611,30.324243
956475355,59.736657,30.3501729
956475356,59.7337214,30.333418
956475358,59.7381193,30.3147731
956475361,59.7372093,30.3367597
956475364,59.7315647,30.3256318
956475372,59.7327059,30.3429927
956475373,59.7298869,30.3355312
956475374,59.7235429,30.3435939
956475377,59.7423346,30.3126
956475379,59.7395038,30.3497372
956475387,59.7370577,30.3520565
956475388,59.7406581,30.3163715
956475389,59.7282907,30.3551685
956475391,59.7293185,30.3498865
956475392,59.7413109,30.3428974
956661491,60.2026965,29.5361831
957211341,59.7374993,30.3108519
957211352,59.7393312,30.3117693
957211357,59.7387479,30.3144899
957211362,59.7366918,30.3137402
957211370,59.735184,30.3229537
957211375,59.7377106,30.3078104
957211377,59.7393711,30.3133511
957211380,59.7387071,30.3143174
957211393,59.7394606,30.3107805
957211396,59.7374588,30.3130168
957211399,59.73953,30.3062595
957211406,59.738557,30.3130895
957211412,59.7367898,30.3147484
957211419,59.7354115,30.3180662
957211424,59.7401075,30.3071172
957211428,59.7387221,30.3056476
957211432,59.7340486,30.3217748
957211437,59.739987,30.3143901
957211441,59.7370786,30.3126509
957211443,59.7394835,30.3066947
957211446,59.7382973,30.3140384
957211456,59.7393882,30.3106272
957211461,59.7376183,30.3121177
957211465,59.7394929,30.3064753
957211474,59.7386035,30.3135798
957211477,59.7369544,30.3144659
957211493,59.7401091,30.3068878
957211501,59.7393126,30.3122378
957211503,59.7385601,30.3117095
957211507,59.7401111,30.3102188
957211518,59.7387034,30.3057741
957211521,59.7381999,30.3144688
957211533,59.7383759,30.3261991
957211536,59.7399246,30.314077
957211543,59.7386155,30.3263872
957211559,59.7359728,30.3158297
957211575,59.7377328,30.3085136
957211579,59.7393136,30.3126094
957211583,59.7396836,30.3071297
957211592,59.7385303,30.3127725
957211594,59.7372951,30.3109675
957211601,59.7384804,30.3262783
957211609,59.7394071,30.3136738
957211612,59.7394331,30.3225762
957211615,59.738781,30.3055728
957211620,59.7386781,30.3141386
957211628,59.7363931,30.315242
957211635,59.7377359,30.308049
957211643,59.7393359,30.3130256
957211652,59.7396203,30.3069331
957211657,59.7384906,30.3131491
957211665,59.7395152,30.3110397
957211671,59.7373525,30.3134187
957211678,59.7394966,30.3141145
957211685,59.7353848,30.3182826
957211687,59.7401362,30.3072617
957224906,60.0009596,30.2578722
957224954,60.0010778,30.2614523
957224956,60.0010835,30.2569246
957225009,60.0004236,30.261983
957287438,59.7262879,30.3304961
957287445,59.7275151,30.3286352
957287475,59.7293489,30.3328116
957287488,59.7335224,30.3365707
957287513,59.7281744,30.3318685
957287516,59.7303374,30.3339058
957287522,59.7339551,30.3359056
957287536,59.7244182,30.3277379
957287541,59.7294934,30.3321541
957287558,59.7337349,30.3400841
957287559,59.7351801,30.3357135
957287560,59.7279488,30.3328318
957287561,59.7264037,30.3303461
